Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: Installing and starting initial bundles
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: All initial bundles installed and set to start
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Trying to lock /srv/opencast/opencast-dist-allinone/data/lock
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Lock acquired
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFORMATION: Lock acquired. Setting startlevel to 100
2016-04-15 02:00:38,236 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.geronimo.specs.geronimo-servlet_3.0_spec, id 51, version 1.0.0, build number n/a
2016-04-15 02:00:38,237 | INFO  | (BundleInfoLogger:110) - Bundle javax.mail, id 52, version 1.4.7, build number n/a
2016-04-15 02:00:38,238 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.geronimo.specs.geronimo-jta_1.1_spec, id 53, version 1.1.1, build number n/a
2016-04-15 02:00:38,240 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.geronimo.specs.geronimo-annotation_1.1_spec, id 54, version 1.0.1, build number n/a
2016-04-15 02:00:38,241 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.geronimo.specs.geronimo-jaspic_1.0_spec, id 55, version 1.1.0, build number n/a
2016-04-15 02:00:38,242 | INFO  | (BundleInfoLogger:110) - Bundle org.eclipse.jetty.aggregate.jetty-all-server, id 56, version 8.1.17.v20150415, build number n/a
2016-04-15 02:00:38,244 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.base.lang, id 57, version 1.5.0, build number n/a
2016-04-15 02:00:38,245 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.swissbox.core, id 58, version 1.8.2, build number n/a
2016-04-15 02:00:38,247 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.xbean.bundleutils, id 59, version 3.18.0, build number n/a
2016-04-15 02:00:38,252 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.xbean.reflect, id 60, version 3.18.0, build number n/a
2016-04-15 02:00:38,253 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.xbean.finder, id 61, version 3.18.0, build number n/a
2016-04-15 02:00:38,256 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-api, id 62, version 3.2.6, build number n/a
2016-04-15 02:00:38,257 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-spi, id 63, version 3.2.6, build number n/a
2016-04-15 02:00:38,259 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-runtime, id 64, version 3.2.6, build number n/a
2016-04-15 02:00:38,261 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-jetty, id 65, version 3.2.6, build number n/a
2016-04-15 02:00:38,262 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.http.core, id 66, version 3.0.5, build number n/a
2016-04-15 02:00:38,263 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.http.command, id 67, version 3.0.5, build number n/a
2016-04-15 02:00:38,264 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-jsp, id 68, version 3.2.6, build number n/a
2016-04-15 02:00:38,265 | INFO  | (BundleInfoLogger:110) - Bundle org.ops4j.pax.web.pax-web-extender-whiteboard, id 69, version 3.2.6, build number n/a
2016-04-15 02:00:38,267 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.felix.metatype, id 70, version 1.0.12, build number n/a
2016-04-15 02:00:38,268 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.felix.scr, id 71, version 1.8.2, build number n/a
2016-04-15 02:00:38,269 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.scr.command, id 72, version 3.0.5, build number n/a
2016-04-15 02:00:38,270 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.webconsole.branding, id 73, version 3.0.5, build number n/a
2016-04-15 02:00:38,271 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.webconsole.console, id 74, version 3.0.5, build number n/a
2016-04-15 02:00:38,272 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.xbean.naming, id 75, version 3.18.0, build number n/a
2016-04-15 02:00:38,273 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.jndi.core, id 76, version 3.0.5, build number n/a
